date,csi300,sp500,stoxx50
2025-02-06,3842.831,6083.5698,5356.63
2025-02-07,3892.703,6025.9902,5325.4
2025-02-10,3901.062,6066.4399,5358.3
2025-02-11,3883.135,6068.5,5390.91
2025-02-12,3919.862,6051.9702,5405.65
2025-02-13,3905.14,6115.0698,5500.5
2025-02-14,3939.009,6114.6299,5493.4
2025-02-18,3912.783,6129.5801,5533.83
2025-02-19,3940.16,6144.1499,5461.16
2025-02-20,3928.896,6117.52,5461.02
2025-02-21,3978.444,6013.1299,5474.84
2025-02-24,3969.717,5983.25,5453.75
2025-02-25,3925.651,5955.25,5447.89
2025-02-26,3959.941,5956.0601,5527.98
2025-02-27,3968.116,5861.5698,5472.55
2025-02-28,3890.049,5954.5,5463.53
2025-03-03,3888.474,5849.7202,5540.68
2025-03-04,3885.221,5778.1499,5387.3
2025-03-05,3902.571,5842.6299,5489.11
2025-03-06,3956.237,5738.52,5520.46
2025-03-07,3944.014,5770.2002,5468.4
2025-03-10,3928.802,5614.5601,5386.97
2025-03-11,3941.416,5572.0698,5309.89
2025-03-12,3927.232,5599.2998,5359.41
2025-03-13,3911.579,5521.52,5328.38
2025-03-14,4006.557,5638.9399,5404.17
2025-03-17,3996.788,5675.1201,5445.54
2025-03-18,4007.723,5614.6602,5485.0
2025-03-19,4010.168,5675.29,5507.35
2025-03-20,3974.992,5662.8901,5450.92
2025-03-21,3914.696,5667.5601,5423.82
2025-03-24,3934.849,5767.5698,5415.78
2025-03-25,3932.295,5776.6499,5475.07
2025-03-26,3919.357,5712.2002,5411.68
2025-03-27,3932.412,5693.3101,5381.07
2025-03-28,3915.166,5580.9399,5331.39
2025-03-31,3887.306,5611.8501,5248.38
2025-04-01,3887.684,5633.0698,5320.29
2025-04-02,3884.386,5670.9702,5303.94
2025-04-03,3861.503,5396.52,5113.27
2025-04-07,3589.441,5062.25,4656.4
2025-04-08,3650.759,4982.77,4773.64
2025-04-09,3686.794,5456.8999,4622.13
2025-04-10,3735.115,5268.0498,4818.91
2025-04-11,3750.517,5363.3599,4787.22
2025-04-14,3759.142,5405.9702,4911.38
2025-04-15,3761.235,5396.6299,4970.42
2025-04-16,3772.82,5275.7002,4966.49
2025-04-17,3772.222,5282.7002,4935.33
2025-04-21,3784.881,5158.2002,5154.11
2025-04-22,3783.952,5287.7598,4961.44
2025-04-23,3786.882,5375.8599,5098.73
2025-04-24,3784.357,5484.77,5114.97
2025-04-25,3786.994,5525.21,5154.11
2025-04-28,3781.619,5528.75,5170.5
2025-04-29,3775.077,5560.8301,5161.91
